"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"11/14/2025","11/14/2025","11/17/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.121265","$618.48","($75.00)"
"11/14/2025","11/14/2025","11/17/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.733406","$27.27","($20.00)"
"11/14/2025","11/14/2025","11/17/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.892538","$56.02","($50.00)"
"11/14/2025","11/14/2025","11/17/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.298369","$251.37","($75.00)"
"11/13/2025","11/13/2025","11/14/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.121333","$618.13","($75.00)"
"11/13/2025","11/13/2025","11/14/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.729724","$27.41","($20.00)"
"11/13/2025","11/13/2025","11/14/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.891589","$56.08","($50.00)"
"11/13/2025","11/13/2025","11/14/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.299896","$250.09","($75.00)"
"11/13/2025","11/13/2025","11/14/2025","","ACH Deposit","ACH","","","$1,100.00"
"11/12/2025","11/12/2025","11/13/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.119378","$628.26","($75.00)"
"11/12/2025","11/12/2025","11/13/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.733944","$27.25","($20.00)"
"11/12/2025","11/12/2025","11/13/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.882534","$56.66","($50.00)"
"11/12/2025","11/12/2025","11/13/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.293507","$255.53","($75.00)"
"11/11/2025","11/11/2025","11/12/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.119419","$628.04","($75.00)"
"11/11/2025","11/11/2025","11/12/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.736377","$27.16","($20.00)"
"11/11/2025","11/11/2025","11/12/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.884329","$56.54","($50.00)"
"11/11/2025","11/11/2025","11/12/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.293214","$255.79","($75.00)"
"11/10/2025","11/10/2025","11/12/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.119895","$625.54","($75.00)"
"11/10/2025","11/10/2025","11/12/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.748828","$26.71","($20.00)"
"11/10/2025","11/10/2025","11/12/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.892747","$56.01","($50.00)"
"11/10/2025","11/10/2025","11/12/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.292957","$256.01","($75.00)"
"11/7/2025","11/7/2025","11/10/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.122435","$612.57","($75.00)"
"11/7/2025","11/7/2025","11/10/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.751879","$26.60","($20.00)"
"11/7/2025","11/7/2025","11/10/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.905029","$55.25","($50.00)"
"11/7/2025","11/7/2025","11/10/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.301653","$248.63","($75.00)"
"11/7/2025","11/7/2025","11/7/2025","FDVV","Stock Lending","SLIP","","","$0.01"
"11/7/2025","11/7/2025","11/7/2025","QQQM","Stock Lending","SLIP","","","$0.01"
"11/7/2025","11/7/2025","11/10/2025","","ACH Deposit","ACH","","","$1,100.00"
"11/6/2025","11/6/2025","11/7/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.121236","$618.62","($75.00)"
"11/6/2025","11/6/2025","11/7/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.753863","$26.53","($20.00)"
"11/6/2025","11/6/2025","11/7/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.901776","$55.45","($50.00)"
"11/6/2025","11/6/2025","11/7/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.296948","$252.57","($75.00)"
"11/5/2025","11/5/2025","11/6/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.119923","$625.40","($75.00)"
"11/5/2025","11/5/2025","11/6/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.75075","$26.64","($20.00)"
"11/5/2025","11/5/2025","11/6/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.896057","$55.80","($50.00)"
"11/5/2025","11/5/2025","11/6/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.291194","$257.56","($75.00)"
"11/4/2025","11/4/2025","11/5/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.120569","$622.05","($75.00)"
"11/4/2025","11/4/2025","11/5/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.758725","$26.36","($20.00)"
"11/4/2025","11/4/2025","11/5/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.902264","$55.42","($50.00)"
"11/4/2025","11/4/2025","11/5/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.293616","$255.44","($75.00)"
"11/4/2025","11/4/2025","11/5/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797","Buy","0.096435","$26.34","($2.54)"
"11/3/2025","11/3/2025","11/4/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.119388","$628.20","($75.00)"
"11/3/2025","11/3/2025","11/4/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.756166","$26.45","($20.00)"
"11/3/2025","11/3/2025","11/4/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.894936","$55.87","($50.00)"
